id,lesson_id,skill,part,level,q_type,content,options,correct_answer,passage,explanation,tags,ai_prompt,audio_url,status,creator_id,created_at
1,1,reading,5,550,mcq,The author suggests that language acquisition is most effective when learners are _____ in authentic communicative situations rather than memorizing isolated vocabulary.,"[""tested"", ""corrected"", ""immersed"", ""evaluated""]",immersed,,'Immersed' fits â€” the author stresses authentic communication over rote memorization. 'Authentic communicative situations' is the key clue.,,,,approved,2,2026-04-23 07:51:26.191868
2,1,reading,5,550,mcq,Which word is closest in meaning to 'ubiquitous'?,"[""rare"", ""widespread"", ""ancient"", ""expensive""]",widespread,,'Ubiquitous' means present or found everywhere â€” synonymous with widespread.,,,,approved,2,2026-04-23 07:51:26.191868
3,1,reading,5,400,mcq,She felt _____ after winning the competition.,"[""devastated"", ""elated"", ""confused"", ""bored""]",elated,,'Elated' means extremely happy â€” fits the context of winning.,,,,approved,2,2026-04-23 07:51:26.191868
4,,writing,5,400,fill_blank,She ___ (go) to the market every Saturday.,null,goes,,"Third person singular, present simple â€” add -es to 'go'.",,,,approved,2,2026-04-23 07:51:26.191868
5,,writing,5,550,fill_blank,"By the time they arrived, the film _____ (already / start).",null,had already started,,Past perfect is used for an action completed before another past action.,,,,approved,2,2026-04-23 07:51:26.191868
6,,listening,5,400,mcq,[Audio] The speakers are discussing plans for the weekend. What will they do on Saturday?,"[""Go hiking"", ""Watch a movie"", ""Visit family"", ""Stay home""]",Watch a movie,,The man mentions 'the new thriller at the cinema on Saturday'.,,,/audio/sample_a2_01.mp3,approved,2,2026-04-23 07:51:26.191868
7,,writing,5,550,writing,Write 3-5 sentences describing your ideal holiday destination and why you would choose it.,null,[AI evaluated],,AI-graded free response.,,"Evaluate this English writing response for grammar, vocabulary range, and coherence. Give a score out of 10 and specific improvement tips.",,approved,2,2026-04-23 07:51:26.191868
8,,reading,5,850,mcq,The passage implies that the author's primary concern is _____.,"[""economic growth"", ""environmental sustainability"", ""political stability"", ""cultural preservation""]",environmental sustainability,,The passage repeatedly emphasizes ecological impact.,,,,pending,2,2026-04-23 07:51:26.191868
9,5,reading,5,550,mcq,The author suggests that language acquisition is most effective when learners are _____ in authentic communicative situations rather than memorizing isolated vocabulary.,"[""tested"", ""corrected"", ""immersed"", ""evaluated""]",immersed,,'Immersed' fits â€” the author stresses authentic communication over rote memorization. 'Authentic communicative situations' is the key clue.,,,,approved,2,2026-04-23 13:35:47.850482
10,5,reading,5,550,mcq,Which word is closest in meaning to 'ubiquitous'?,"[""rare"", ""widespread"", ""ancient"", ""expensive""]",widespread,,'Ubiquitous' means present or found everywhere â€” synonymous with widespread.,,,,approved,2,2026-04-23 13:35:47.851482
11,5,reading,5,400,mcq,She felt _____ after winning the competition.,"[""devastated"", ""elated"", ""confused"", ""bored""]",elated,,'Elated' means extremely happy â€” fits the context of winning.,,,,approved,2,2026-04-23 13:35:47.851482
12,,writing,5,400,fill_blank,She ___ (go) to the market every Saturday.,null,goes,,"Third person singular, present simple â€” add -es to 'go'.",,,,approved,2,2026-04-23 13:35:47.851482
13,,writing,5,550,fill_blank,"By the time they arrived, the film _____ (already / start).",null,had already started,,Past perfect is used for an action completed before another past action.,,,,approved,2,2026-04-23 13:35:47.851482
14,,listening,5,400,mcq,[Audio] The speakers are discussing plans for the weekend. What will they do on Saturday?,"[""Go hiking"", ""Watch a movie"", ""Visit family"", ""Stay home""]",Watch a movie,,The man mentions 'the new thriller at the cinema on Saturday'.,,,/audio/sample_a2_01.mp3,approved,2,2026-04-23 13:35:47.851482
15,,writing,5,550,writing,Write 3-5 sentences describing your ideal holiday destination and why you would choose it.,null,[AI evaluated],,AI-graded free response.,,"Evaluate this English writing response for grammar, vocabulary range, and coherence. Give a score out of 10 and specific improvement tips.",,approved,2,2026-04-23 13:35:47.851482
16,,reading,5,850,mcq,The passage implies that the author's primary concern is _____.,"[""economic growth"", ""environmental sustainability"", ""political stability"", ""cultural preservation""]",environmental sustainability,,The passage repeatedly emphasizes ecological impact.,,,,pending,2,2026-04-23 13:35:47.851482
